Neighborhood,regvote10,regvote12,voted10,voted12,dirtyst10,dirtyst11,dirtyst12,dirtyst13,clogged10,clogged11,clogged12,clogged13,drvalone13,carpool13,pubtran13,walked13,trav14_13,trav29_13,trav44_13,trav45_13,trees07,treeplnt13,cmos11,waterc11,heatgas13,elheat13,novhcl13,weather10,weather11,weather12,weather13,wlksc11,bkln12,othrcom13
Allendale/Irvington/S. Hilton,83.4,82.8,45.3,57,41.7,41,48.1,37,4.2,4.6,6.2,5.9,63.9,12.3,19.6,2.7,12.5,40.3,24.5,22.7,32.7,349,6,16,66,22,28.8,0.5,0.4,0.4,0.4,44,2.4,1.5
Beechfield/Ten Hills/West Hills,79.7,81.6,52.6,61.9,10.5,12.2,13.9,10.2,3.4,3.3,4.8,6,75.3,11.1,11.3,1.7,11.1,49.3,23.8,15.7,48.1,123,7,17,76,15.2,18.8,0.5,0.3,0.4,0.3,32.5,4.2,0.6
Belair-Edison,81.7,83.2,46.6,59.8,90.2,66.3,79.1,65.9,4.1,6.1,3.8,5.1,69.7,9,17.6,2.6,9.7,37.6,32.6,20.2,20.1,222,6,17,69.9,15.2,27.7,0.6,0.3,0.6,0.6,62.3,0.2,1.1
Brooklyn/Curtis Bay/Hawkins Point,53.6,53.3,30.1,28.3,91.5,112.1,82.8,66,4.2,5.8,5.5,4.4,52,17.7,21.8,4.8,21.1,29.3,28.8,20.9,15.1,163,7,17,68.2,27.4,33.3,1.4,9.1,0.9,0.4,17.7,3.2,3.6
Canton,79.5,71.5,43.2,52,32.8,38.5,38.3,43.7,6.3,8.9,5.9,6.5,78.9,6.9,5,5.5,18.5,42.3,27.7,11.5,9.6,91,3,12,64.2,31.3,10.1,0,0,0.1,0,89.2,2.8,3.7
Cedonia/Frankford,73.9,78.5,46.6,56.2,22.5,24.2,24.3,17.8,2.5,5.6,3.1,3.7,68,12.2,17.7,1.3,10.4,40.3,27.5,21.8,28.8,112,6,18,74,18.1,27.2,0.4,0.3,0.6,0.7,57.4,2.2,0.7
Cherry Hill,82.5,82.3,34.9,53.1,11.7,12.7,7.2,7.2,1.2,3.7,2.9,4.8,40.6,20.9,34.7,3.5,15.8,36.5,20.8,27,19,101,0,17,67.6,27,52.5,15.7,74.4,8.1,2,38.1,2.8,0.3
Chinquapin Park/Belvedere,83.2,85.9,51.2,61.9,26.3,32.1,47.3,25.5,5,4.3,6.1,3.9,67.8,11,16.2,2.2,18.9,35.7,24.2,21.1,39.4,146,3,15,66.1,24.3,24.5,0.4,0.3,0.6,0.5,74.6,0.8,2.9
Claremont/Armistead,60.7,60.9,37.8,39,8.1,12.6,17.1,16.3,1.6,2.9,3,2.9,61.7,11.9,22.1,2.5,15.2,26.2,34.4,24.2,28,144,1,25,80.9,16.6,27.9,1,0.5,0.7,0.3,31,1.3,1.7
Clifton-Berea,91.5,89.5,40.3,57.5,167.2,171.9,167.7,107.7,10.9,9.9,9.9,15.4,47.1,13.2,34.1,2.5,16,32.1,29.4,22.5,8.3,45,25,14.000000000000002,66.6,17.6,47.1,0.4,0.4,0.3,0.3,58.3,0.5,3
Cross-Country/Cheswolde,83.1,89.7,54.5,67.2,3.3,8.8,6.9,3.5,1.1,2.2,4.3,2.1,74.1,13.6,10.2,1.7,20.5,41.3,25.2,13,47.7,2,2,24,60.6,32.9,11.4,0.3,0.5,1.1,0.3,43.1,3.3,0.5
Dickeyville/Franklintown,63.8,69.5,41.1,47.4,3.2,3.2,7.6,3.9,0.7,1.5,1.5,1,65.5,6.2,25.6,1.7,14.7,36.9,19.9,28.5,72.1,137,2,18.5,67.2,27.1,39.9,0,0.3,0,0.6,17.1,0,1.1
Dorchester/Ashburton,81.3,79.8,51.4,59.9,33.9,40,37,29,2.6,4.7,4.8,7.9,66.8,11.1,19.5,1.8,16.3,43.2,18.7,21.8,30.1,47,4,18,75.9,16.7,24.6,0.4,0.3,0.3,0.5,55.9,3.1,0.9
Downtown/Seton Hill,63.8,53.2,30.7,34.9,31.2,43.8,38.8,39.9,8.9,11.6,9.5,13.3,42.2,3.9,16.4,35,31,42,14.7,12.4,6.7,52,11,28.999999999999996,24.2,73,38.1,0,2.2,0.7,0.1,96.7,4.3,2.6
Edmondson Village,93.9,96,48,68.4,41.4,35.7,34.9,38.5,1.8,5.1,3.5,4.8,59.4,14.8,23,2.2,11.4,38.3,28.2,22.1,53.8,18,2,17,61.5,17,28.8,0.5,0.4,0.5,0.3,52.4,0,0.6
Fells Point,74.2,68.9,41.4,43.8,49.7,41.5,53.3,56.5,9.5,9,6.9,8.1,64.7,8.2,8.9,15,20.3,44.6,20.9,14.3,7.2,37,5,13,51.5,46.1,13.5,0,0,0,0,93.9,3.8,3.2
Forest Park/Walbrook,81.1,76.8,45.2,54,40.5,53.1,54.3,41.7,2.7,7.1,9.7,7.3,62.5,12.6,21.7,0.3,8.5,36.1,30.4,24.9,52.5,46,8,20,78.8,14.4,32.5,0.1,0.4,0.3,0.4,41.5,0.9,2.8
Glen-Fallstaff,77.1,66.8,49.1,48.7,26,24.5,33.5,18.2,1.4,3.6,4.5,2.1,60.3,10.1,23.6,5.6,19,36.6,25.2,19.2,27.7,124,2,19,64.5,28.3,27.3,0.5,0.7,0.8,5,65.7,1.7,0.3
Greater Charles Village/Barclay,56.2,56,39.4,36.5,56.7,56.8,62.4,69.4,3.5,4.1,3.6,4.3,46.5,7.2,21.4,17.8,30.7,33.3,19.4,16.6,23.1,231,37,17,59.3,26.5,45.4,0.5,1.6,0.8,0.4,89.9,9.2,7.2
Greater Govans,86,87.5,46.8,62.3,46.3,51.2,69.9,43.8,6.2,7,5.4,5.1,57.1,9.8,28,3.3,16.5,35.8,24.4,23.3,31.8,50,16,15,58.7,26.9,32.2,0.4,0.2,0.5,0.6,56.7,1.6,1.9
Greater Mondawmin,82.4,82.5,43.4,55.9,90.7,94.5,135.5,82,5.9,10.8,11,10.7,59.6,15,21.1,4,11.3,46,21.5,21.2,22.3,106,7,16,62.6,23.1,33.2,0.6,0.2,0.5,0.4,66.1,0,0.3
Greater Roland Park/Poplar Hill,88,90.4,64.7,72.1,12.7,13,13,7.5,5.2,11.9,12.7,10,79.4,7.2,6,4.4,24.8,46.6,16.2,12.3,58.6,59,1,23,65.1,18.6,4.1,0,0,0,0,54.6,6.3,3
Greater Rosemont,86,82,40.7,54.6,114.4,94,105.2,76.6,6,7.8,10.9,9.3,52.7,9.7,33.3,2.9,9.6,29.4,27.4,33.6,27.2,7,12,15,75.3,14.1,43.8,0.5,2,0.6,0.3,60.9,0,1.3
Greenmount East,96.5,83.6,37.4,53.5,154.6,148.4,183,127.3,14.8,13.6,13,17.5,34.7,9.5,44.2,8.4,16.4,32,20.5,31.2,13.4,111,105,13,56.4,33.5,56,0.2,0.4,0.4,0.6,70.5,2.3,3.2
Hamilton,75.5,81,51.1,58.2,23.2,23.7,34.7,29.9,3.9,6,4.2,3.8,79.2,9.4,9.3,1.4,6.5,39,31.8,22.7,34,14,1,17,78.8,8.3,12.7,0.2,0.2,0.5,0.5,60.1,2.6,0.7
Harbor East/Little Italy,72.2,77.5,34.9,49,35.9,39.2,21.3,23.1,9.6,7.8,8.7,10,36.1,3.2,28.3,27.7,34.3,30.8,12.4,22.5,6.5,8,21,15,49.7,39.1,44.4,0,0,0.1,0.1,94.8,5,4.7
Harford/Echodale,76.3,79.5,48.2,55.5,11.4,18.1,24.9,15.9,4.6,4.4,3.4,2.1,81.9,7.9,6.3,1.3,9.9,43.5,28.1,18.4,29.7,69,5,16,71.2,19.1,12.4,0.3,0.1,0.2,0.2,53.2,0,2.6
Highlandtown,67.4,68.7,41.8,45.6,126.2,145,89.2,87.7,2.8,6.8,4.1,4.6,64.3,12.7,11.3,6.8,18.3,43.6,20.2,18,3.2,31,7,13,63.4,26,23.5,0,0,0.1,0,88.5,2.6,5
Howard Park/West Arlington,78.2,78.9,52.6,58.1,28.7,26.8,34.1,21.3,3.8,4.6,6.3,10.6,76.2,6.6,13.7,2.9,16.6,29.3,27.2,26.8,39.2,17,10,18,62.9,25.9,19.7,0.4,0.4,0.3,0.5,54.2,3.5,0.7
Inner Harbor/Federal Hill,80.3,77.7,45.1,57.6,53,51.3,37.1,39.2,4.7,7.7,5.8,4.4,71.9,5.6,4.8,16.1,23,43.7,20.5,12.9,8.5,110,17,14.000000000000002,49,45.9,15.5,0,0,0,0.1,91,2.8,1.6
Lauraville,80.7,79.7,52.5,58,27.7,37.2,40.1,32,2.8,5.7,3.7,4.8,79.9,8.9,7.5,2,8.8,44.4,30.6,16.1,40,116,2,17,76,10.4,10.1,0.3,0.2,0.2,0.3,60.3,2.5,1.6
Loch Raven,80.3,82.7,51.6,62.7,38.8,25.7,37.4,21.6,4,5.6,4.4,4.4,69.7,11.6,17.2,0.8,10.6,43.2,25.3,20.9,32.8,250,2,16,70.2,25.2,21.8,0.8,0.3,0.6,1,49.4,0,0.6
Madison/East End,78.3,77.6,30.6,48.3,611.9,267.7,193.2,94.3,14.3,13,9.6,10.4,37,10.4,38,12.1,18.6,33.1,19.2,29.1,5.7,122,26,15,73.4,14.1,53.8,0.2,0.2,0.2,0.3,79.3,1.6,2.4
Medfield/Hampden/Woodberry/Remington,70.3,72,49.4,50.2,33.8,33,38.1,36.7,2.1,3.9,5,4,65,8.5,8.9,11.8,27.6,38.3,21,13.1,31.7,172,11,14.000000000000002,68.7,18.6,18.9,0.1,0,0.1,0.1,70.4,3.1,5.8
Midtown,67.3,67.2,42.3,49.4,44,37.8,49.3,44.7,5.9,4.3,3.7,4.8,49.3,5.9,19.8,20.6,29.5,40.9,13.3,16.3,13.3,156,52,23,45.2,49,35.2,0,0.7,1.5,0,93.2,8.4,4.5
Midway/Coldstream,90.1,81.5,38.6,53.1,155.8,142.6,130.5,110.3,8,12.2,10.7,9.9,60.3,7.4,26.4,2.6,16.4,36.9,19,27.7,11.6,4,26,15,69.4,16.8,38.2,0.2,0.2,0.4,0.4,74,0.3,3.2
Morrell Park/Violetville,55.3,56.2,42.6,33.9,28.6,22.8,32.9,41.2,2,3.2,5.1,4.1,65.7,19.1,7.1,5.9,20.7,46.5,17,15.8,24.9,184,3,17,63,22.6,23.2,0.2,0.1,0.2,0.2,42,0,2.3
Mount Washington/Coldspring,94.3,102.6,60.7,81.8,5,11.6,16.1,16.3,1,4.1,5.2,3.3,79.2,9.1,9.8,0.5,16.7,47.1,19,17.2,65.6,15,4,19,60.2,29.5,7.7,0.6,0.1,0.2,0.3,31.5,2.3,1.5
North Baltimore/Guilford/Homeland,64.7,62,59,46.7,14.8,14.7,20.7,15.9,4.2,5.8,3.6,4.6,63.2,6.7,10.1,16.2,25.9,46.4,15.5,12.1,49.5,76,5,20,64.9,24.6,16.7,0,0,0.1,0,55.1,3.7,3.7
Northwood,77.2,78.4,51.4,57.7,34.3,38.2,40.3,28.1,4.2,6.1,4.3,4.4,65.3,13.1,14.8,5.1,12.2,39.7,27.9,20.2,29.9,138,3,16,74,14.3,12.6,0.5,0.4,0.7,0.4,44.6,3.2,1.7
Oldtown/Middle East,77.3,75.2,35.2,48.2,65.5,52.4,47.7,43,11.8,8.8,8.1,10,35.3,9.3,38.5,15,25.6,22.3,21.2,30.8,9.8,29,30,12,46.9,48.1,69.8,2.4,17.7,0.7,3,84.9,4.9,2
Orangeville/East Highlandtown,53.2,56.5,34,31.5,109.1,110.4,100.6,76.8,11.4,12.9,9,6.6,53,17,19.7,8,10.6,38.9,30.2,20.3,12.3,73,7,16,67.2,17.9,25.9,0.1,0,0.1,0.1,50.8,3.2,2.2
Patterson Park North & East,71,65.7,37.2,43.5,392.3,191.9,187.4,126.8,10.7,7,5.2,6.9,55.8,13.4,18.6,8.9,14.7,42.4,27.6,15.2,5.2,80,56,14.000000000000002,66,23.6,29.3,0,0.1,0.1,0.2,79.8,0.5,3.4
Penn North/Reservoir Hill,80.3,83,42.9,58.8,84.2,91.8,127.5,94.6,4.5,5.1,7.8,7.8,49.2,18.9,25.7,4.1,18.5,36.7,25.3,19.5,42.9,55,35,17,56.2,35.9,46.5,0.2,0.1,0.1,0.3,74.2,4.3,2.1
Pimlico/Arlington/Hilltop,77.2,78.9,41.1,53.7,79.1,73.5,70.8,45.9,4.1,8,9.2,7.4,53.8,11.9,29,2.8,10,40.1,22.1,27.8,22.9,8,12,16,62.8,22.6,40.3,0.7,0.5,0.3,0.5,65.9,2,2.6
Poppleton/The Terraces/Hollins Market,74.3,83.3,36.5,53.4,57,104.6,121.9,101.7,3.2,5.1,5.9,7.7,37,2.2,36.8,22.7,20.4,32,16.8,30.7,13.9,45,13,14.000000000000002,61.6,33.8,61.8,0.2,9,24.9,0.1,89.5,1.1,1.3
Sandtown-Winchester/Harlem Park,79.6,75.7,35,49,157.7,152.7,205.5,128.8,5.2,7.9,12.9,8.6,46.3,7,42.9,2.5,13.5,23.9,28.4,34.1,15.4,41,30,13,66.2,27,58.2,0.3,0.3,0.3,0.3,72.7,0.5,1.3
South Baltimore,76.5,76.9,46.6,56.6,15.8,19.5,28.3,34.2,5.4,4.3,4.8,5.2,78.7,7.7,3.6,7.9,26,38.6,22.4,13.1,5.2,36,6,13,75.4,19.6,9.9,0,0,0,0,44.6,1.6,2.1
Southeastern,59.7,55.5,33.8,30.4,28,25.2,31,24.9,10.2,8,5.6,7,68.8,8.7,14.1,7.5,23.4,33.9,25.2,17.5,5,,2,16,74.8,19.6,34.5,0,0.1,0.1,0.1,25.8,3.5,0.9
Southern Park Heights,79.8,73.8,38,49.2,77.9,84.8,108.9,67.4,2.6,6.2,7.5,8.8,49,11.2,35,3.5,10.8,34.1,24.5,30.6,29.3,57,16,16,62.9,25.5,43.1,1.3,0.3,0.4,0.4,53.2,2,1.3
Southwest Baltimore,70.1,70.5,33.4,41.2,253.6,195.5,217.9,152.8,5.4,8.9,9.3,12.1,43.5,10.2,35.6,8.4,12.7,35.6,24.5,27.2,14.1,216,102,14.000000000000002,61.4,28.5,54.2,0.4,0.4,0.2,0.1,77.4,0.8,2.2
The Waverlies,87.2,87.7,46.9,60.2,84.2,80.7,87.3,49.7,8.1,11.2,9.9,7,53.5,14.1,25.9,2.5,13.3,39.2,22.1,25.3,19.5,107,9,14.000000000000002,65.1,24.7,39.5,0.2,0.3,0.3,0.3,76.6,2.2,4
Upton/Druid Heights,79.1,81,35.2,52.9,52.1,58.9,76.8,70.7,2,4.4,6.2,6.4,43.3,11.1,36.5,8.3,16.2,36.9,19.4,27.5,14.5,95,106,15,53.3,38.5,68.4,0.2,0.8,3.1,6.3,83.7,0.7,0.8
Washington Village/Pigtown,67.7,69,39.2,47.3,193.2,206.4,225.5,183.5,6.7,9.4,10.9,14.5,68.7,5.2,12.6,10.7,31.2,28.6,22.2,17.9,11.5,32,15,13,63.1,29.6,28.6,0.2,0.1,0.2,0.3,70.6,0.5,2.9
